Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
rd,All other sections,wcount,2574.6656,1136.4,1096.192,1438.2656,1.3121,large
rd,All other sections,pred_adj,6.7456,4.5237,3.1989,2.2219,0.6946,medium
rd,All other sections,vcmp,6.0359,3.8058,3.3476,2.2301,0.6662,medium
rd,All other sections,all_th,9.3432,6.5868,4.584,2.7564,0.6013,medium
rd,All other sections,all_vth,7.2265,5.2513,3.7218,1.9752,0.5307,medium
rd,All other sections,have,2.1737,1.3507,1.7209,0.823,0.4783,small
rd,All other sections,lkly_vth,1.8998,1.2146,1.5954,0.6852,0.4295,small
rd,All other sections,pdem,2.657,1.8398,1.9243,0.8171,0.4246,small
rd,All other sections,downtone,2.9711,2.1868,1.9049,0.7843,0.4117,small
rd,All other sections,advs,32.0472,28.0154,9.8882,4.0318,0.4077,small
rd,All other sections,fact_vth,2.6304,1.7877,2.0904,0.8428,0.4032,small
rd,All other sections,prob_vto,0.7225,0.3865,0.8966,0.336,0.3748,small
rd,All other sections,jcmp,0.375,0.1728,0.555,0.2022,0.3644,small
